tic,conm_x,Last Price,YTD Ret,1-mth Ret,3-mth Ret,12-mth Ret,BothSP-NASDAQ,SP500,Ticker,gvkey,datadate,fyear,cusip,conm_y,fyr,exchg,cik,fic,addzip,city,gsubind,naics,sic,state,PERMNO,date,NCUSIP,COMNAM,PERMCO,CUSIP
ALGT,Allegiant Travel Com,69.35,-0.6015,-0.4743,-0.6004,-0.4836,0,0, ALGT,175007,20191231,2019,01748X102,ALLEGIANT TRAVEL CO,12,14,1362468,USA,89144,Las Vegas,20302010,481111,4512,NV,91659,20191231,01748X10,ALLEGIANT TRAVEL CO,51547,01748X10
ALK,Alaska Air Group,24.69,-0.6356,-0.4788,-0.6311,-0.5728,0,1, ALK,1230,20191231,2019,11659109,ALASKA AIR GROUP INC,12,11,766421,USA,98188,Seattle,20302010,481111,4512,WA,28804,20191231,1165910,ALASKA AIRGROUP INC,20035,1165910
ALKS,Alkermes Plc,14.12,-0.3078,-0.2961,-0.2669,-0.6049,0,0, ALKS,24302,20191231,2019,G01767105,ALKERMES PLC,12,14,1520262,IRL,4,Dublin,35201010,325412,2834,,76736,20191231,G0176710,ALKERMES PLC,11023,G0176710
ALL,Allstate Corp,85.96,-0.2356,-0.2128,-0.2381,-0.1012,0,1, ALL,28349,20191231,2019,20002101,ALLSTATE CORP,12,11,899051,USA,60062-6127,Northbrook,40301040,524126,6331,IL,79323,20191231,2000210,ALLSTATE CORP,29870,2000210
ALLE,Allegion Plc,84.04,-0.3252,-0.2958,-0.3214,-0.1011,0,1, ALLE,316056,20191231,2019,G0176J109,ALLEGION PLC,12,11,1579241,IRL,2,Dublin,20102010,332510,3420,,14297,20191231,G0176J10,ALLEGION PLC,54641,G0176J10
ALLK,Allakos Inc,45.01,-0.528,-0.293,-0.518,0.0658,0,0, ALLK,33721,20191231,2019,01671P100,ALLAKOS INC,12,14,1564824,USA,94065,Redwood City,35201010,325414,2836,CA,17948,20191231,01671P10,ALLAKOS INC,56442,01671P10
ALLO,Allogene Therapeutics Inc,18.89,-0.2729,-0.3133,-0.2721,-0.3205,0,0, ALLO,34161,20191231,2019,19770106,ALLOGENE THERAPEUTICS,12,14,1737287,USA,94080,South San Francisco,35201010,325414,2836,CA,18137,20191231,1977010,ALLOGENE THERAPEUTICS INC,56536,1977010
ALNA,Allena Pharmaceuticals Inc,0.9805,-0.6408,-0.5146,-0.6473,-0.8562,0,0, ALNA,,,,,,,,,,,,,,,,17042,20191231,1811910,ALLENA PHARMACEUTICALS INC,56125,1811910
ALNY,Alnylam Pharmaceuticals,105.82,-0.0812,-0.0503,-0.0852,0.1495,0,0, ALNY,264265,20191231,2019,02043Q107,ALNYLAM PHARMACEUTICALS INC,12,14,1178670,USA,2142,Cambridge,35201010,325412,2834,MA,90178,20191231,02043Q10,ALNYLAM PHARMACEUTICALS INC,45191,02043Q10
ALRM,Alarm.com,37.84,-0.1194,-0.2118,-0.1175,-0.4231,0,0, ALRM,24135,20191231,2019,11642105,ALARM.COM HOLDINGS INC,12,14,1459200,USA,22102,Tysons,45103010,519130,7370,VA,15409,20191231,1164210,ALARM COM HOLDINGS INC,55297,1164210
ALRN,Aileron Therapeutics Inc,0.3133,-0.4532,-0.4669,-0.4822,-0.821,0,0, ALRN,,,,,,,,,,,,,,,,16776,20191231,00887A10,AILERON THERAPEUTICS INC,55978,00887A10
ALTM,Altus Midstream Company,0.6713,-0.7653,-0.5433,-0.7514,-0.8883,0,0, ALTM,34414,20191231,2019,02215L100,ALTUS MIDSTREAM COMPANY,12,14,1692787,USA,77056-4400,Houston,10102040,486210,4922,TX,16673,20191231,02215L10,ALTUS MIDSTREAM CO,55888,02215L10
ALTR,Altair Engineering Inc Cl A,23.49,-0.3459,-0.3156,-0.3619,-0.3958,0,0, ALTR,32530,20191231,2019,21369103,ALTAIR ENGINEERING INC,12,14,1701732,USA,48083,Troy,45103010,511210,7372,MI,17034,20191231,2136910,ALTAIR ENGINEERING INC,56117,2136910
ALXN,Alexion Pharm Inc,89.77,-0.1699,-0.0421,-0.1564,-0.3587,1,1, ALXN,62263,20191231,2019,15351109,ALEXION PHARMACEUTICALS INC,12,14,899866,USA,2210,Boston,35201010,325414,2836,MA,83111,20191231,1535110,ALEXION PHARMACEUTICALS INC,14394,1535110
AMAT,Applied Materials,42.28,-0.3073,-0.2715,-0.3093,-0.0035,1,1, AMAT,1704,20191031,2019,38222105,APPLIED MATERIALS INC,10,14,6951,USA,95052,Santa Clara,45301010,333242,3559,CA,14702,20191231,3822210,APPLIED MATERIALS INC,194,3822210
AMBA,Ambarella Inc,45.43,-0.2498,-0.2182,-0.2768,0.0132,0,0, AMBA,15420,20190131,2018,G037AX101,AMBARELLA INC,1,14,1280263,CYM,95054,Santa Clara,45301020,334413,3674,CA,13634,20191231,G037AX10,AMBARELLA INC,54217,G037AX10
AMCR,Amcor Plc,7.84,-0.2768,-0.1825,-0.2526,-0.2924,0,1, AMCR,100243,20190630,2019,G0250X107,AMCOR PLC,6,11,1748790,JEY,8050,Zurich,15103020,326112,2670,,18724,20191231,G0250X10,AMCOR PLC,56767,G0250X10
AMCX,Amc Networks Cl A,20.58,-0.479,-0.3142,-0.4771,-0.6419,0,0, AMCX,187406,20191231,2019,00164V103,AMC NETWORKS INC,12,14,1514991,USA,10001,New York,50201020,515120,4833,NY,12880,20191231,00164V10,A M C NETWORKS INC,53816,00164V10
AMD,Adv Micro Devices,42.59,-0.0713,-0.089,-0.1237,0.4676,1,1, AMD,1161,20191231,2019,7903107,ADVANCED MICRO DEVICES,12,14,2488,USA,95054,Santa Clara,45301020,334413,3674,CA,61241,20191231,790310,ADVANCED MICRO DEVICES INC,211,790310
AME,Amtek Inc,71.29,-0.2852,-0.1836,-0.2937,-0.1546,0,1, AME,1598,20191231,2019,31100100,AMETEK INC,12,11,1037868,USA,19312-1177,Berwyn,20104010,334513,3823,PA,85257,20191231,3110010,AMETEK INC NEW,32054,3110010
AMED,Amedisys Inc,176.66,0.0584,0.0495,0.0553,0.3988,0,0, AMED,30612,20191231,2019,23436108,AMEDISYS INC,12,14,896262,USA,70816,Baton Rouge,35102015,621610,8082,LA,80795,20191231,2343610,AMEDISYS INC,13269,2343610
AMGN,Amgen Inc,205.41,-0.1479,0.0048,-0.1386,0.0647,1,1, AMGN,1602,20191231,2019,31162100,AMGEN INC,12,14,318154,USA,91320-1799,Thousand Oaks,35201010,325414,2836,CA,14008,20191231,3116210,AMGEN INC,216,3116210
AMKR,Amkor Technology,7.39,-0.4315,-0.2839,-0.4269,-0.1678,0,0, AMKR,110039,20191231,2019,31652100,AMKOR TECHNOLOGY INC,12,14,1047127,USA,85284,Tempe,45301010,334413,3674,AZ,86047,20191231,3165210,AMKOR TECHNOLOGY INC,16080,3165210
AMP,Ameriprise Financial Services,90.32,-0.4578,-0.3574,-0.4596,-0.3386,0,1, AMP,164708,20191231,2019,03076C106,AMERIPRISE FINANCIAL INC,12,11,820027,USA,55474,Minneapolis,40203010,523110,6211,MN,90880,20191231,03076C10,AMERIPRISE FINANCIAL INC,47422,03076C10
AMPH,Amphastar Pharma,14.78,-0.2338,-0.0604,-0.2176,-0.2928,0,0, AMPH,20659,20191231,2019,03209R103,AMPHASTAR PHARMACEUTICLS INC,12,14,1297184,USA,91730,Rancho Cucamonga,35202010,325412,2834,CA,14688,20191231,03209R10,AMPHASTAR PHARMACEUTICALS INC,54881,03209R10
AMPYW,Amplify Energy Corp WT Exp 05/04/2022,0.0071,-0.29,-0.3107,-0.29,-0.645,0,0, AMPYW,,,,,,,,,,,,,,,,,,,,,
AMRN,Amarin Corp Ads,4.78,-0.7771,-0.6924,-0.7718,-0.7669,0,0, AMRN,28027,20191231,2019,23111206,AMARIN CORP,12,14,897448,GBR,2,Dublin,35201010,325412,2834,,79122,20191231,2311120,AMARIN CORP PLC,12064,2311120
